property_id,formatted_address,zip_code,style,beds,full_baths,half_baths,sqft,year_built,list_price,sold_price,latitude,longitude,stories,days_on_mls,neighborhoods
8509602645,"550 N Kingsbury St Apt 521, Chicago, IL, 60654",60654,CONDOS,1.0,1.0,,800.0,1905.0,325000.0,350000.0,41.891966,-87.640748,7.0,38.0,"Downtown Chicago, Near North Side, River North"
7554082023,"6145 S Nashville Ave, Chicago, IL, 60638",60638,SINGLE_FAMILY,2.0,2.0,,840.0,1953.0,264900.0,272000.0,41.779908,-87.785886,1.0,80.0,"Clearing, Southwest Side"
7092367480,"4752 S Linder Ave, Chicago, IL, 60638",60638,SINGLE_FAMILY,4.0,2.0,,1085.0,2000.0,349000.0,330000.0,41.805974,-87.760586,2.0,142.0,
7874565092,"3901 N Neva Ave, Chicago, IL, 60634",60634,SINGLE_FAMILY,3.0,2.0,1.0,1404.0,1947.0,399900.0,385000.0,41.950883,-87.805639,2.0,39.0,"Dunning, Northwest Side"
8447598079,"6508 S Albany Ave, Chicago, IL, 60629",60629,MULTI_FAMILY,3.0,3.0,,1400.0,1892.0,300000.0,315000.0,41.775061,-87.70095,,84.0,"Southwest Side, Marquette Park, Chicago Lawn"
8585223620,"5000 S Cornell Ave Apt 21B, Chicago, IL, 60615",60615,CONDOS,2.0,2.0,1.0,1800.0,1920.0,230000.0,217000.0,41.80436,-87.586801,22.0,95.0,"Kenwood, South Side, Indian Village"
7733982856,"330 W Grand Ave Apt 904, Chicago, IL, 60654",60654,CONDOS,2.0,1.0,1.0,1100.0,2005.0,374900.0,394000.0,41.891789,-87.636669,21.0,29.0,"Downtown Chicago, Near North Side, River North"
7649899058,"7618 S Rhodes Ave, Chicago, IL, 60619",60619,SINGLE_FAMILY,3.0,1.0,1.0,4650.0,1923.0,200000.0,190000.0,41.756038,-87.611755,2.0,233.0,"Park Manor, Greater Grand Crossing, South Side"
7930042708,"1525 S Harding Ave, Chicago, IL, 60623",60623,MULTI_FAMILY,7.0,4.0,,3125.0,1906.0,570000.0,560000.0,41.859944,-87.723421,,131.0,"North Lawndale, West Side"
8756321742,"1444 W 49th Pl, Chicago, IL, 60609",60609,SINGLE_FAMILY,2.0,2.0,,1040.0,1890.0,339000.0,360000.0,41.80435,-87.661812,2.0,48.0,"New City, Southwest Side"
7702111180,"1521 E 68th St Apt 1, Chicago, IL, 60637",60637,CONDOS,3.0,2.0,,1450.0,1920.0,74500.0,70000.0,41.771354,-87.587076,3.0,156.0,"South Shore, South Side"
7048134397,"3047 S Millard Ave, Chicago, IL, 60623",60623,SINGLE_FAMILY,4.0,2.0,1.0,1428.0,1906.0,240000.0,230000.0,41.837508,-87.71547,2.0,112.0,"South Lawndale, West Side"
